feature,importance
fe_group_max_key_ID_B_10,5.147226951296435e-05
fe_freq_enc_fe_group_last_key_ID_R_3,5.12993203498624e-05
fe_group_max_key_ID_B_37,5.057058684931892e-05
fe_group_max_key_ID_B_2,5.044174312440752e-05
fe_group_last_key_ID_R_26,4.987635595787854e-05
fe_freq_enc_fe_group_last_key_ID_R_2,4.9653066633459364e-05
fe_group_last_key_ID_S_25,4.959245658930911e-05
fe_freq_enc_fe_group_last_key_ID_B_22,4.9376663399658405e-05
fe_group_mean_key_ID_D_52,4.9371252871077687e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_B_20,4.882366262393134e-05
fe_freq_enc_fe_group_min_key_ID_D_51,4.874582173663988e-05
fe_group_min_key_ID_S_8,4.872799280514206e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_84,4.845282152560193e-05
fe_freq_enc_fe_group_max_key_ID_D_79,4.841784772269264e-05
fe_recentDiff_interval_1_D_53,4.79972462649747e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_R_16,4.7203055866529287e-05
fe_group_mean_key_ID_D_53,4.707653618990504e-05
fe_freq_enc_fe_group_last_key_ID_B_30,4.699025363880116e-05
fe_group_mean_key_ID_B_10,4.676321394125882e-05
fe_group_last_key_ID_D_128,4.6345541700576476e-05
fe_freq_enc_fe_group_last_key_ID_D_51,4.5988839725397135e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_79,4.597827323649106e-05
fe_recentDiff_interval_2_R_4,4.5548879615886495e-05
fe_group_max_key_ID_S_25,4.548088036332443e-05
fe_freq_enc_fe_group_max_key_ID_D_44,4.535917871656414e-05
fe_group_max_key_ID_D_129,4.5027765803173914e-05
fe_rollingMean_window_6_B_4,4.483915198438826e-05
fe_group_min_key_ID_D_58,4.462173134534009e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_78,4.441849864161851e-05
fe_recentDiff_interval_1_D_39,4.426979503185935e-05
fe_rollingMean_window_6_D_55,4.423142646498013e-05
fe_group_mean_key_ID_D_56,4.395515671923311e-05
fe_freq_enc_fe_group_min_key_ID_B_20,4.393537271979442e-05
fe_group_mean_key_ID_D_46,4.3904214440781963e-05
fe_freq_enc_fe_group_min_key_ID_R_3,4.3812322511382895e-05
fe_group_max_key_ID_S_15,4.3674269722460135e-05
